epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2319.89,0.82912,0.71406,1.17311,0.80227,0.6844,0.72144,0.55807,0.78822,1.386,1.23244,8.5513e-05,8.5513e-05,8.5513e-05
57,2357.88,0.86969,0.80842,1.21542,0.85348,0.63659,0.71544,0.55719,0.81676,1.39896,1.23067,8.24492e-05,8.24492e-05,8.24492e-05
58,2397.12,0.73687,0.77284,1.11691,0.85662,0.64989,0.70929,0.56782,0.78132,1.38571,1.24077,7.94038e-05,7.94038e-05,7.94038e-05
59,2437.16,0.74683,0.726,1.13987,0.75459,0.65213,0.70269,0.55446,0.74626,1.41573,1.21491,7.63797e-05,7.63797e-05,7.63797e-05
60,2479.91,0.78242,0.73601,1.13615,0.75158,0.63796,0.71482,0.57233,0.769,1.41691,1.20475,7.33799e-05,7.33799e-05,7.33799e-05
61,2520.54,0.76092,0.75886,1.15145,0.76142,0.63862,0.72078,0.59027,0.74671,1.41325,1.2022,7.04073e-05,7.04073e-05,7.04073e-05
62,2561.65,0.76363,0.81803,1.1561,0.67019,0.65374,0.71412,0.57657,0.76496,1.48683,1.18709,6.74649e-05,6.74649e-05,6.74649e-05
63,2604.34,0.81857,0.77401,1.19338,0.5745,0.70383,0.69989,0.56649,0.80526,1.51664,1.20808,6.45557e-05,6.45557e-05,6.45557e-05
64,2644.47,0.7648,0.65592,1.15666,0.87619,0.56334,0.70343,0.56058,0.78812,1.44259,1.21442,6.16824e-05,6.16824e-05,6.16824e-05
65,2685.72,0.66119,0.82139,1.08438,0.59104,0.71743,0.7189,0.56467,0.79734,1.4392,1.22472,5.88479e-05,5.88479e-05,5.88479e-05
66,2729.1,0.73661,0.71546,1.12951,0.83399,0.67447,0.73335,0.5531,0.8149,1.41478,1.21312,5.60549e-05,5.60549e-05,5.60549e-05
67,2770.18,0.75538,0.7523,1.11639,0.87119,0.64565,0.71484,0.54004,0.79123,1.46685,1.21844,5.33064e-05,5.33064e-05,5.33064e-05
68,2813.76,0.74024,0.74884,1.13318,0.86169,0.58683,0.71316,0.53973,0.78564,1.52731,1.23838,5.06049e-05,5.06049e-05,5.06049e-05
69,2858.06,0.70916,0.73635,1.13435,0.88329,0.56879,0.70044,0.53482,0.80732,1.4486,1.23686,4.79531e-05,4.79531e-05,4.79531e-05
70,2898.73,0.69803,0.68515,1.10808,0.59155,0.72351,0.72095,0.5515,0.79429,1.42014,1.24456,4.53537e-05,4.53537e-05,4.53537e-05
71,2937.51,0.70648,0.68023,1.11075,0.7302,0.60654,0.72001,0.54951,0.7985,1.45595,1.24797,4.28093e-05,4.28093e-05,4.28093e-05
