epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1062.52,0.88127,1.27348,1.12129,0.78675,0.77987,0.80595,0.58324,0.97887,1.60321,1.25555,0.000140137,0.000140137,0.000140137
67,1079.85,0.83504,1.2142,1.08163,0.78781,0.78428,0.78649,0.55859,0.97371,1.61964,1.24139,0.000133266,0.000133266,0.000133266
68,1094.47,0.81094,1.14893,1.07273,0.87369,0.75727,0.80164,0.58584,0.85791,1.60571,1.23032,0.000126512,0.000126512,0.000126512
69,1109.77,0.83884,1.17999,1.09161,0.85931,0.75723,0.79838,0.58738,0.85797,1.62017,1.24067,0.000119883,0.000119883,0.000119883
70,1126.11,0.82564,1.18365,1.06834,0.95527,0.6682,0.80269,0.59364,0.86072,1.64322,1.22076,0.000113384,0.000113384,0.000113384
71,1141.9,0.85527,1.17941,1.09047,0.82554,0.74338,0.81208,0.5826,0.86646,1.63195,1.21166,0.000107023,0.000107023,0.000107023
72,1157.57,0.7673,1.13478,1.04002,0.91246,0.73155,0.81127,0.58694,0.81903,1.60698,1.21413,0.000100806,0.000100806,0.000100806
73,1173.06,0.87342,1.22691,1.0961,0.91723,0.72586,0.81022,0.58554,0.80677,1.58285,1.21866,9.47376e-05,9.47376e-05,9.47376e-05
74,1188.88,0.86621,1.22659,1.10867,0.8873,0.74069,0.81767,0.59571,0.81957,1.56809,1.22623,8.88253e-05,8.88253e-05,8.88253e-05
75,1203.74,0.90078,1.22679,1.09657,0.77476,0.78582,0.79358,0.5846,0.86224,1.61148,1.19541,8.30746e-05,8.30746e-05,8.30746e-05
76,1220.62,0.82641,1.1806,1.07548,0.7844,0.78853,0.79477,0.60564,0.82481,1.58136,1.22397,7.74911e-05,7.74911e-05,7.74911e-05
77,1237.23,0.8117,1.16557,1.09292,0.83442,0.74863,0.80851,0.60939,0.80935,1.57735,1.22567,7.20803e-05,7.20803e-05,7.20803e-05
78,1252.89,0.81572,1.13205,1.08326,0.8192,0.72505,0.79476,0.59679,0.80008,1.5841,1.20702,6.68475e-05,6.68475e-05,6.68475e-05
79,1268.14,0.79578,1.1509,1.05681,0.8779,0.67683,0.77466,0.57705,0.813,1.60575,1.21977,6.1798e-05,6.1798e-05,6.1798e-05
80,1283.78,0.78788,1.1459,1.05521,0.91741,0.69493,0.78192,0.57721,0.82415,1.60861,1.22588,5.69366e-05,5.69366e-05,5.69366e-05
81,1298.74,0.8365,1.12234,1.09314,0.92181,0.69272,0.77539,0.57804,0.81306,1.60692,1.22463,5.22683e-05,5.22683e-05,5.22683e-05
82,1313.78,0.81991,1.11891,1.07193,0.92171,0.69709,0.78398,0.58618,0.79027,1.58821,1.21203,4.77976e-05,4.77976e-05,4.77976e-05
83,1329.41,0.77629,1.1567,1.05851,0.9128,0.71821,0.79105,0.596,0.80285,1.5928,1.20212,4.35288e-05,4.35288e-05,4.35288e-05
84,1344.92,0.81471,1.14309,1.05356,0.89742,0.69324,0.78341,0.59871,0.80843,1.59483,1.20486,3.94663e-05,3.94663e-05,3.94663e-05
85,1360.07,0.81781,1.18678,1.07259,0.9029,0.69083,0.78366,0.59616,0.80368,1.59104,1.20658,3.56141e-05,3.56141e-05,3.56141e-05
86,1375.91,0.81688,1.11537,1.07469,0.90968,0.68598,0.78408,0.59646,0.80783,1.57944,1.22189,3.19759e-05,3.19759e-05,3.19759e-05
87,1391.1,0.81903,1.11755,1.09057,0.92159,0.69441,0.79074,0.59256,0.81464,1.5798,1.22788,2.85553e-05,2.85553e-05,2.85553e-05
